h2019-02-22 20:46:48,927: 'd'
2019-02-22 20:46:49,311: 'd'
2019-02-22 20:46:49,406: 'e'
2019-02-22 20:46:49,804: 'r'
2019-02-22 20:46:50,026: 'f'
2019-02-22 20:46:50,296: 'r'
2019-02-22 20:46:50,719: 'h'
2019-02-22 20:46:50,915: 'f'
2019-02-22 20:46:50,925: 'u'
2019-02-22 20:46:51,062: 'v'
2019-02-22 20:46:51,101: 'b'
2019-02-22 20:46:51,191: 'u'
2019-02-22 20:46:51,215: 'h'
2019-02-22 20:46:51,224: 'd'
2019-02-22 20:46:51,292: 'b'
2019-02-22 20:46:51,327: 'v'
2019-02-22 20:46:51,444: 'h'
2019-02-22 20:46:51,453: 'j'
2019-02-22 20:46:51,553: 'f'
2019-02-22 20:46:51,584: 'b'
2019-02-22 20:46:51,593: 'v'
2019-02-22 20:46:51,699: 'j'
2019-02-22 20:46:51,740: 'h'
2019-02-22 20:46:51,879: 'v'
2019-02-22 20:46:52,038: 'g'
2019-02-22 20:46:52,464: 'd'
2019-02-22 20:47:07,533: 'k'
2019-02-22 20:47:08,080: 'e'
2019-02-22 20:47:08,296: 'y'
2019-02-22 20:47:09,400: Key.shift
2019-02-22 20:47:10,223: Key.shift
2019-02-22 20:47:10,433: '-'
2019-02-22 20:47:10,660: 'l'
2019-02-22 20:47:10,854: 'o'
2019-02-22 20:47:11,169: 'g'
2019-02-22 20:47:11,523: '.'
2019-02-22 20:47:12,498: 't'
2019-02-22 20:47:13,173: 'x'
2019-02-22 20:47:13,307: 't'
2019-02-22 20:47:45,787: 'y'
2019-02-22 20:47:45,806: 'r'
2019-02-22 20:47:45,856: 's'
2019-02-22 20:47:45,895: 'f'
2019-02-22 20:47:45,924: 'x'
2019-02-22 20:47:46,055: 'h'
2019-02-22 20:47:46,074: 'f'
2019-02-22 20:47:46,161: 'c'
2019-02-22 20:48:13,937: 'h'
2019-02-22 20:48:14,224: 'o'
2019-02-22 20:48:14,470: 'w'
2019-02-22 20:48:14,581: Key.space
2019-02-22 20:48:15,060: 't'
2019-02-22 20:48:15,213: 'o'
2019-02-22 20:48:15,667: Key.space
2019-02-22 20:48:17,508: 'u'
2019-02-22 20:48:17,807: 's'
2019-02-22 20:48:18,048: 'e'
2019-02-22 20:48:18,224: Key.space
2019-02-22 20:48:18,693: 'p'
2019-02-22 20:48:19,056: 'y'
2019-02-22 20:48:19,257: 't'
2019-02-22 20:48:19,469: 'h'
2019-02-22 20:48:19,743: 'o'
2019-02-22 20:48:20,004: 'n'
2019-02-22 20:48:20,193: Key.space
2019-02-22 20:48:20,512: 't'
2019-02-22 20:48:21,308: 'o'
2019-02-22 20:48:23,258: Key.space
2019-02-22 20:48:23,574: 'm'
2019-02-22 20:48:23,767: 'a'
2019-02-22 20:48:24,111: 'k'
2019-02-22 20:48:24,348: 'e'
2019-02-22 20:48:24,651: Key.space
2019-02-22 20:48:24,934: 'm'
2019-02-22 20:48:25,212: 'o'
2019-02-22 20:48:25,477: 'u'
2019-02-22 20:48:26,165: 's'
2019-02-22 20:48:26,293: 'e'
2019-02-22 20:48:26,578: Key.space
2019-02-22 20:48:26,841: 'm'
2019-02-22 20:48:27,079: 'o'
2019-02-22 20:48:27,411: 'v'
2019-02-22 20:48:27,569: 'e'
2019-02-22 20:48:27,720: Key.space
2019-02-22 20:48:28,182: 'u'
2019-02-22 20:48:28,488: 'n'
2019-02-22 20:48:29,302: Key.backspace
2019-02-22 20:48:29,743: Key.backspace
2019-02-22 20:48:29,766: Key.backspace
2019-02-22 20:48:29,790: Key.backspace
2019-02-22 20:48:29,814: Key.backspace
2019-02-22 20:48:29,838: Key.backspace
2019-02-22 20:48:29,863: Key.backspace
2019-02-22 20:48:29,886: Key.backspace
2019-02-22 20:48:29,911: Key.backspace
2019-02-22 20:48:29,935: Key.backspace
2019-02-22 20:48:29,959: Key.backspace
2019-02-22 20:48:29,983: Key.backspace
2019-02-22 20:48:30,007: Key.backspace
2019-02-22 20:48:30,031: Key.backspace
2019-02-22 20:48:30,055: Key.backspace
2019-02-22 20:48:30,079: Key.backspace
2019-02-22 20:48:30,103: Key.backspace
2019-02-22 20:48:30,127: Key.backspace
2019-02-22 20:48:30,151: Key.backspace
2019-02-22 20:48:30,175: Key.backspace
2019-02-22 20:48:30,199: Key.backspace
2019-02-22 20:48:30,223: Key.backspace
2019-02-22 20:48:30,247: Key.backspace
2019-02-22 20:48:30,271: Key.backspace
2019-02-22 20:48:30,295: Key.backspace
2019-02-22 20:48:30,319: Key.backspace
2019-02-22 20:48:30,343: Key.backspace
2019-02-22 20:48:30,367: Key.backspace
2019-02-22 20:48:30,396: Key.backspace
2019-02-22 20:48:30,416: Key.backspace
2019-02-22 20:48:30,439: Key.backspace
2019-02-22 20:48:30,463: Key.backspace
2019-02-22 20:48:30,488: Key.backspace
2019-02-22 20:48:30,512: Key.backspace
2019-02-22 20:48:30,536: Key.backspace
2019-02-22 20:48:30,560: Key.backspace
2019-02-22 20:48:30,584: Key.backspace
2019-02-22 20:48:30,608: Key.backspace
2019-02-22 20:48:30,632: Key.backspace
2019-02-22 20:48:30,655: Key.backspace
2019-02-22 20:48:30,680: Key.backspace
2019-02-22 20:48:30,704: Key.backspace
2019-02-22 20:48:30,728: Key.backspace
2019-02-22 20:48:30,752: Key.backspace
2019-02-22 20:48:30,776: Key.backspace
2019-02-22 20:48:30,800: Key.backspace
2019-02-22 20:48:30,824: Key.backspace
2019-02-22 20:48:33,462: 'f'
2019-02-22 20:48:33,626: 'o'
2019-02-22 20:48:33,859: 'r'
2019-02-22 20:48:34,389: 'c'
2019-02-22 20:48:34,544: 'e'
2019-02-22 20:48:34,783: Key.space
2019-02-22 20:48:35,003: 'a'
2019-02-22 20:48:35,182: 'n'
2019-02-22 20:48:35,458: 'o'
2019-02-22 20:48:35,799: 't'
2019-02-22 20:48:36,000: 'h'
2019-02-22 20:48:36,191: 'e'
2019-02-22 20:48:36,969: 'r'
2019-02-22 20:48:37,150: Key.space
2019-02-22 20:48:37,936: 'p'
2019-02-22 20:48:38,142: 'c'
2019-02-22 20:48:38,681: Key.space
2019-02-22 20:48:38,922: 't'
2019-02-22 20:48:39,069: 'o'
2019-02-22 20:48:39,352: Key.space
2019-02-22 20:48:39,752: 'r'
2019-02-22 20:48:39,964: 'u'
2019-02-22 20:48:40,215: 'n'
2019-02-22 20:48:40,400: Key.space
2019-02-22 20:48:40,869: 'a'
2019-02-22 20:48:41,124: Key.space
2019-02-22 20:48:42,119: 'p'
2019-02-22 20:48:42,630: 'y'
2019-02-22 20:48:42,865: 't'
2019-02-22 20:48:43,057: 'h'
2019-02-22 20:48:43,342: 'o'
2019-02-22 20:48:43,595: 'n'
2019-02-22 20:48:43,795: Key.space
2019-02-22 20:48:44,153: 'p'
2019-02-22 20:48:44,370: 'r'
2019-02-22 20:48:44,532: 'o'
2019-02-22 20:48:44,965: 'g'
2019-02-22 20:48:45,179: 'r'
2019-02-22 20:48:45,385: 'a'
2019-02-22 20:48:45,546: 'm'
2019-02-22 20:48:45,793: Key.space
2019-02-22 20:48:46,540: 'o'
2019-02-22 20:48:46,810: 'n'
2019-02-22 20:48:47,010: Key.space
2019-02-22 20:48:47,374: 's'
2019-02-22 20:48:47,682: 't'
2019-02-22 20:48:47,934: 'r'
2019-02-22 20:48:48,410: 'a'
2019-02-22 20:48:49,205: 'r'
2019-02-22 20:48:49,647: 't'
2019-02-22 20:48:50,337: Key.down
2019-02-22 20:48:51,059: Key.enter
2019-02-22 20:51:40,108: 'c'
2019-02-22 20:51:40,267: 'm'
2019-02-22 20:51:40,700: 'd'
2019-02-22 20:51:44,856: Key.cmd
2019-02-22 20:51:44,969: Key.right
2019-02-22 20:51:51,896: 'n'
2019-02-22 20:51:52,075: 'e'
2019-02-22 20:51:52,227: 't'
2019-02-22 20:51:52,880: Key.space
2019-02-22 20:51:54,647: 'u'
2019-02-22 20:51:55,104: 's'
2019-02-22 20:51:55,260: 'e'
2019-02-22 20:51:55,439: 'r'
2019-02-22 20:51:55,998: Key.space
2019-02-22 20:51:56,418: 'a'
2019-02-22 20:51:57,462: 'd'
2019-02-22 20:51:57,661: 'm'
2019-02-22 20:51:57,923: 'i'
2019-02-22 20:51:58,187: 'n'
2019-02-22 20:51:58,601: 'i'
2019-02-22 20:52:00,143: 's'
2019-02-22 20:52:00,822: 't'
2019-02-22 20:52:01,079: 'r'
2019-02-22 20:52:01,378: 'a'
2019-02-22 20:52:01,699: 't'
2019-02-22 20:52:02,972: 'o'
2019-02-22 20:52:03,197: 'r'
2019-02-22 20:52:05,248: Key.space
2019-02-22 20:52:05,778: '/'
2019-02-22 20:52:07,599: 'a'
2019-02-22 20:52:07,857: 'c'
